date,sales,onpromotion,transactions,dcoilwtico,year,month,day,dayofweek,is_weekend
2013-01-01,2511.618999,0,770.0,93.14,2013,1,1,1,0
2013-01-02,496092.417944,0,93215.0,93.14,2013,1,2,2,0
2013-01-03,361461.231124,0,78504.0,92.97,2013,1,3,3,0
2013-01-04,354459.6770927,0,78494.0,93.12,2013,1,4,4,0
2013-01-05,477350.121229,0,93573.0,93.12,2013,1,5,5,1
2013-01-06,519695.401088,0,90464.0,93.12,2013,1,6,6,1
2013-01-07,336122.801066,0,75597.0,93.2,2013,1,7,0,0
2013-01-08,318347.777981,0,72325.0,93.21,2013,1,8,1,0
2013-01-09,302530.809018,0,71971.0,93.08,2013,1,9,2,0
2013-01-10,258982.003049,0,66383.0,93.81,2013,1,10,3,0
2013-01-11,289737.6850845,0,70338.0,93.6,2013,1,11,4,0
2013-01-12,403258.2120105,0,85511.0,93.6,2013,1,12,5,1
2013-01-13,464638.547998,0,86306.0,93.6,2013,1,13,6,1
2013-01-14,293348.362078,0,70078.0,94.27,2013,1,14,0,0
2013-01-15,299129.549954,0,71134.0,93.26,2013,1,15,1,0
2013-01-16,318347.913946,0,72471.0,94.28,2013,1,16,2,0
2013-01-17,267498.5159755,0,68873.0,95.49,2013,1,17,3,0
2013-01-18,296130.850028,0,71371.0,95.61,2013,1,18,4,0
2013-01-19,432459.852021,0,88558.0,95.61,2013,1,19,5,1
2013-01-20,461092.386047,0,85281.0,95.61,2013,1,20,6,1
2013-01-21,311211.26595000003,0,73250.0,95.61,2013,1,21,0,0
2013-01-22,296214.728983,0,68988.0,96.09,2013,1,22,1,0
2013-01-23,283258.4530325,0,69819.0,95.06,2013,1,23,2,0
2013-01-24,247245.690995,0,63705.0,95.35,2013,1,24,3,0
2013-01-25,290022.77193,0,71273.0,95.15,2013,1,25,4,0
2013-01-26,413799.7679753,0,88022.0,95.15,2013,1,26,5,1
2013-01-27,430411.991233,0,83304.0,95.15,2013,1,27,6,1
2013-01-28,285460.169953,0,70389.0,95.95,2013,1,28,0,0
2013-01-29,264488.81807649997,0,68435.0,97.62,2013,1,29,1,0
2013-01-30,281061.127052,0,70888.0,97.98,2013,1,30,2,0
2013-01-31,271254.217996,0,70268.0,97.65,2013,1,31,3,0
2013-02-01,369402.055266,0,78302.0,97.46,2013,2,1,4,0
2013-02-02,518887.462705,0,97347.0,97.46,2013,2,2,5,1
2013-02-03,486336.82018,0,87026.0,97.46,2013,2,3,6,1
2013-02-04,344308.715017,0,75330.0,96.21,2013,2,4,0,0
2013-02-05,321245.83913,0,76206.0,96.68,2013,2,5,1,0
2013-02-06,321538.177149,0,75291.0,96.44,2013,2,6,2,0
2013-02-07,290807.530973,0,72789.0,95.84,2013,2,7,3,0
2013-02-08,347441.789912,0,79726.0,95.71,2013,2,8,4,0
2013-02-09,416176.2790747,0,90342.0,95.71,2013,2,9,5,1
2013-02-10,300951.328993,0,69963.0,95.71,2013,2,10,6,1
2013-02-11,278627.588926,0,67222.0,97.01,2013,2,11,0,0
2013-02-12,308800.7909121,0,71808.0,97.48,2013,2,12,1,0
2013-02-13,319597.929962,0,80098.0,97.03,2013,2,13,2,0
2013-02-14,308164.016957,0,88681.0,97.3,2013,2,14,3,0
2013-02-15,320168.883912,0,75789.0,95.95,2013,2,15,4,0
2013-02-16,485660.494008,0,92816.0,95.95,2013,2,16,5,1
2013-02-17,399588.910014,0,77449.0,95.95,2013,2,17,6,1
2013-02-18,350745.573191,0,76437.0,95.95,2013,2,18,0,0
